trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
172,False,"{'a': 0.5, 'e': 0.030965993558272006}",25,13,26.235934001446658,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.030346673687106564}",20,14,12.392936693416347,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.02973974021336443}",30,13,32.69192482812743,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.029144945409097144}",20,0,32.14918397740964,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
176,False,"{'a': 0.5, 'e': 0.0285620465009152}",20,13,10.609294878587253,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.027990805570896896}",25,19,-10.955982429933217,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.027430989459478958}",30,8,44.73071498700474,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.026882369670289376}",20,9,23.51161020333656,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.02634472227688359}",20,6,28.22792481190193,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.025817827831345917}",25,8,29.579654927688708,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.025301471274718997}",30,16,26.834436832513312,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.024795441849224616}",20,5,23.408532807369248,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.024299533012240124}",30,8,37.13466027187103,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.023813542351995322}",20,9,21.585471441056793,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.023337271504955414}",20,15,10.575287875132455,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.022870526074856307}",25,13,24.742241708489978,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.02241311555335918}",20,9,22.818462586818743,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.021964853242291995}",20,8,19.17328502242974,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.021525556177446156}",20,13,12.893251788373131,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.02109504505389723}",30,14,31.373016790339314,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
